⺀	〔※󰁦※󰄼※󰄼※※☯※uyy※〕
⺁	〔※󰃼※󰄋※󰄋※☯※rtt※〕
⺂	〔※󰃦※󰃦※󰃒※󰃒※☯※nnll※〕
⺃	〔※󰄻※󰄻※󰃒※󰃒※☯※nnll※〕
⺄	〔※󰄺※󰄺※󰃒※󰃒※☯※nnll※〕
⺅	〔※󰄥※󰄋※󰂺※※☯※wth※〕
⺆	〔※󰀼※󰄋※󰂁※※☯※mtn※〕
⺇	〔※󰁰※󰄋※󰄺※※☯※wtn※〕
⺈	〔※󰄾※󰄋※󰃦※☯※qtn※〕
⺉	〔※󰃉※󰂺※󰂻※※☯※jhh※〕
⺊	〔※󰀥※󰂺※󰂶※※☯※hhg※〕
⺋	〔※󰂑※󰂁※󰄻※☯※bnn※〕
⺌	〔※󰃆※󰂺※󰄼※󰄋※☯※ihyt※〕
⺍	〔※󰀧※󰄼※󰄼※󰄋※☯※iyyt※〕
⺎	〔※󰂶※󰃺※󰁫※※☯※gqv※〕
⺏	〔※󰄦※󰃺※󰀅※※☯※wqb※〕
⺐	〔※󰁼※󰄻※󰁫※※☯※dnv※〕
⺑	〔※󰄦※󰄨※󰀅※※☯※wwb※〕
⺒	〔※󰃠※󰁈※󰂶※󰄻※☯※nngn※〕
⺔	〔※󰄰※󰂂※󰁈※󰂶※☯※xnng※〕
⺕	〔※󰁬※󰁈※󰂶※󰂶※☯※vngg※〕
⺖	〔※󰃣※󰄼※󰄼※󰂺※☯※nyyh※〕
⺗	〔※󰃤※󰂻※󰄋※󰄼※☯※nhty※〕
⺘	〔※󰃿※󰂶※󰂻※󰀞※☯※rghg※〕
⺙	〔※󰄏※󰄋※󰂶※󰄲※☯※ttgy※〕
⺛	〔※󰀄※󰁜※󰁫※※☯※aqv※〕
⺜	〔※󰀰※󰂺※󰁈※󰂶※☯※jhng※〕
⺝	〔※󰂧※󰂺※󰂁※󰂶※☯※ehng※〕
⺞	〔※󰀥※󰃹※󰁧※※☯※hqu※〕
⺟	〔※󰄭※󰂂※󰂁※󰄼※☯※xnny※〕
⺠	〔※󰁂※󰀁※󰁫※※☯※nav※〕
⺡	〔※󰃁※󰄼※󰄼※󰀞※☯※iyyg※〕
⺢	〔※󰃄※󰂻※󰄼※󰄼※☯※ihyy※〕
⺣	〔※󰃨※󰄼※󰄼※󰄼※☯※oyyy※〕
⺤	〔※󰂦※󰄋※󰄼※󰄋※☯※etyt※☯※zhǎo※zhuǎ※〕
⺥	〔※󰅆※󰄋※󰄋※󰄼※☯※etty※〕
⺦	〔※󰄿※󰄼※󰀞※󰂺※☯※uygh※〕
⺧	〔※󰄋※󰂮※󰀌※☯※tfd※〕
⺨	〔※󰃻※󰁥※󰄋※󰄋※☯※qttt※〕
⺩	〔※󰂷※󰂶※󰂶※󰀞※☯※gggg※〕
⺪	〔※󰃦※󰂾※󰀌※☯※nhd※〕
⺫	〔※󰃔※󰂺※󰁈※󰂶※☯※lhng※〕
⺬	〔※󰂭※󰃅※󰁧※※☯※fiu※〕
⺭	〔※󰃲※󰄼※󰄼※󰁶※☯※pyyy※〕
⺮	〔※󰄍※󰄋※󰂶※󰄼※☯※ttgy※〕
⺯	〔※󰄫※󰂂※󰂂※󰄼※☯※xnny※〕
⺰	〔※󰄪※󰂂※󰂂※󰀞※☯※xnng※〕
⺱	〔※󰀿※󰄄※󰀦※※☯※mri※〕
⺲	〔※󰃔※󰂺※󰁈※󰂶※☯※lhng※〕
⺳	〔※󰃱※󰄋※󰁏※󰀅※☯※ptnb※〕
⺵	〔※󰃜※󰀭※󰀵※※☯※mjk※〕
⺶	〔※󰄝※󰄼※󰄋※󰄋※☯※uytt※〕
⺷	〔※󰄒※󰂷※󰀘※☯※ugf※〕
⺹	〔※󰂮※󰄋※󰀏※※☯※fte※〕
⺺	〔※󰁬※󰂺※󰀵※※☯※vhk※〕
⺻	〔※󰁬※󰂺※󰂶※󰀌※☯※vhgd※〕
⺽	〔※󰀗※󰄋※󰂺※󰂶※☯※ethg※☯※jiù※〕
⺾	〔※󰄖※󰂶※󰂺※󰂺※☯※aghh※〕
⺿	〔※󰂈※󰂺※󰂶※󰂺※☯※ahgh※〕
⻁	〔※󰃀※󰄨※󰁫※※☯※hwv※〕
⻂	〔※󰃳※󰁧※󰄼※󰄼※☯※puyy※〕
⻃	〔※󰄈※󰂶※󰂺※󰂶※☯※sghg※〕
⻄	〔※󰄇※󰂶※󰂺※󰂶※☯※sghg※〕
⻅	〔※󰃜※󰁜※󰀅※※☯※mqb※〕
⻆	〔※󰃸※󰂨※󰀬※※☯※qej※〕
⻇	〔※󰃸※󰃜※󰄤※󰄤※☯※qmww※〕
⻈	〔※󰄵※󰄼※󰁉※※☯※yyn※〕
⻉	〔※󰃚※󰂺※󰁈※󰄼※☯※mhny※〕
⻊	〔※󰃏※󰂾※󰀘※☯※khf※〕
⻋	〔※󰃖※󰂶※󰂂※󰂺※☯※lgnh※〕
⻌	〔※󰃮※󰄼※󰁈※󰄲※☯※pyny※〕
⻍	〔※󰅂※󰄼※󰄼※󰄳※☯※pyyy※〕
⻎	〔※󰃮※󰄼※󰁈※󰄲※☯※pyny※〕
