㑩	wlqy
㓆	uwxn
㓰	gmb,gmbj
㔉	ntkj
㖊	kvfy
㖞	kkm,kkmw
㛟	vqm,vqmd
㛤	vgmy
㛿	vgkh
㟆	mwx,mwxf
㟜	mxq,mxqi
㡎	mhce
㧐	rccy
㧑	ryey
㧟	ria,rian
㧰	rtn,rtni
㭏	sfnh
㱩	gqfd
㳕	iud,iudg
㳡	ifpy
㳢	itdj
㳽	ixti
㴋	ivhw
㶉	iexg
㶶	ope,opey
㶽	okm,okmw
㺍	qtpw
㻅	gwf,gwfc
㻏	gvo,gvoy
㻘	gpj,gpjh
䁖	hov,hovg
䃅	dujf
䅉	tgo,tgog
䇲	tgud
䉤	tovt
䍠	lyr,lyrc
䎬	fsl,fslc
䏝	efny
䑽	tujn
䓕	afqp
䓖	apwe
䗖	jgkh
䘛	puwn
䙊	pugh
䙓	pulc
䟢	khqi
䩄	dljq
䲢	eugg
䴙	nkug
与	gn,gngd
专	fny,fnyi
业	oh,ohh,ohhg
丢	tfc,tfcu
两	gm,gmww
个	whj
为	yey,yeyi
丽	gmy,gmyy
举	ig
么	tc,tcu
义	yr,yri
乌	tnn,tnng
乐	tn,tni,tnii
乡	xte
书	nnhy
乱	tdnn
亏	fnb
产	ute
亲	us,usu
亸	ybu,ybuf
仅	wcy
仑	wxb
伟	wf,wfnh
传	wfn,wfny
伪	wyey
伫	wp,wpgg
侠	wgu,wgud
侣	wkk,wkkg
侥	wat,watq
侨	wtd,wtdj
侪	wyj,wyjh
侬	wp,wpe,wpey
俣	wkg,wkgd
俨	wgo,wgot
俩	wgmw
俪	wgmy
俫	wgus
偬	wqr,wqrn
偻	wov,wovg
兖	ucq,ucqb
兹	uxx,uxxu
冁	ujfe
册	mm,mmgd
农	pe,pei
冲	ukh,ukhh
决	un,unw,unwy
况	uk,ukqn
凄	ugvv
凉	uy,uyiy
减	udg,udgk
凑	ud,udw,udwd
凛	uyl,uyli
凭	wtfw
凯	mn,mnw,mnwn
删	mm,mmgj
别	kej,kejh
刬	gajh
刹	rsj,rsjh
刾	gudj
刿	mqjh
剀	mnj,mnjh
剐	kmwj
剥	vij,vijh
剧	ndjh
劢	gqet
匀	qu,qud
匦	alv,alvv
华	wx,wxf,wxfj
卖	fnud
卢	hnr
卧	ahnh
卺	bigb
历	de,dee
厢	dsh,dshd
厣	ddl,ddlk
厦	ddh,ddht
厨	dgkf
厩	dva,dvaq
厮	ddw,ddwr
叁	cd,cdd,cddf
双	ccy
叙	wgsc
叠	cc,cccg
叽	kwn
吕	kk,kkf
吗	kc
吨	kgbn
吴	kg,kgd,kgdu
呐	kmw,kmwy
呒	kfq,kfqn
呓	kann
呖	kde,kdet
呙	kmwu
咏	kyn,kyni
咛	kps,kpsh
咝	kxx,kxxg
咤	kpta
哑	kgo,kgog
哓	kat,katq
哕	kmq,kmqy
哗	kwx,kwxf
哜	kyj,kyjh
哝	kpe,kpey
哟	kx,kxq,kxqy
唛	kgt,kgty
唡	kgmw
唤	kqm,kqmd
啬	ful,fulk
啯	klgy
啰	klqy
啸	kv,kvh,kvhw
喽	kov,kovg
嗫	kbc,kbcc
嘘	kho,khog
嘱	knty
嚣	kkdk
园	lfq,lfqv
囱	tlq,tlqi
囵	lwxv
坜	fdet
坞	ftng
垒	cccf
垦	vff
垭	fgo,fgog
垲	fmn,fmnn
埘	fjfy
埚	fkmw
墙	ffu,ffuk
声	fnr
壳	fpw,fpwb
壸	fpgo
处	th,thi
够	qkqq
夹	gud,gudi
奂	qmd,qmdu
奥	tmo,tmod
妈	vc
妩	vfq,vfqn
妫	vye,vyey
姗	vm,vmm,vmmg
姹	vpt,vpta
娄	ovf
娅	vgo,vgog
娆	vat,vatq
娇	vtdj
娱	vkg,vkgd
娲	vkm,vkmw
婳	vgl,vglb
婶	vpj,vpjh
媪	vjl,vjlg
嫱	vfu,vfuk
嬷	vo,vos,vosc
审	pj,pjh,pjhj
宪	ptf,ptfq
宫	pkk,pkkf
寻	vfu
尔	qiu
尘	iff
尴	dnj,dnjl
尽	nyu,nyuu
屉	nan,nanv
届	nm,nmd
属	ntk,ntky
屡	no,novd
屦	ntov
屿	mgn,mgng
岁	mqu
岂	mn,mnb
岭	mwyc
峡	mgu,mgud
峣	mat,matq
峤	mtdj
峥	mqv,mqvh
崃	mgus
嵝	mov,movg
巩	awyy
币	tmh,tmhk
帜	mhkw
帱	mhdf
帼	mhl,mhly
幂	pjd,pjdh
并	ua,uaj
庄	ofd
庙	omd
廪	oyl,oyli
异	na,naj
弃	yc,yca,ycaj
弑	rsa,rsay
弥	xqi,xqiy
弹	xu
强	xk,xkjy
录	vi,viu
彟	vfa,vfac
彦	utee
彨	gmye
徕	tgus
忏	ntf,ntfh
忧	ndn,ndny
忾	nrn
怀	nd,ndhy
怃	nfq,nfqn
怜	nwyc
恒	ngj,ngjg
恹	ndd,nddy
恺	nmn,nmnn
悦	nuk,nukq
悫	fpwn
悮	nkgd
惊	nyiy
惬	nag,nagd
惯	nx
愠	njl,njlg
慑	nbc,nbcc
慭	gusn
懑	iagn
懒	ns
懔	nyl,nyli
戋	gai
戬	goja
戯	hoay
扑	rhy
扰	rdny
抚	rfq,rfqn
抛	rve,rvet
抟	rfn,rfny
抡	rwx,rwxn
担	rjgg
拧	rps,rpsh
挜	rgog
挝	rfp,rfpy
挟	rgu,rgud
挠	rat,ratq
挢	rtdj
挤	ryj,ryjh
挦	rvfy
捝	rukq
换	rq,rqmd
掳	rhe,rhet
掴	rlg,rlgy
掷	rud,rudb
揾	rjlg
搄	rngg
携	rwyb
摇	re,ret,retb
撄	rmm,rmmv
撑	rip,ripr
撺	rpwh
擜	rfmd
敌	tdty
敚	ukqt
数	ov,ovty
斋	yd,ydm,ydmj
断	onrh
昙	jfcu
晋	go,goj,gojf
晒	jsg
晓	ja,jatq
晔	jwx,jwxf
暅	jngg
机	swn
杀	rs,rsu
杂	vsu
条	tsu
来	gu,gusi
构	sqc,sqcy
枞	swwy
枥	sde,sdet
柠	sps,spsh
柽	scf,scfg
栀	srgb
栅	smmg
栈	sga,sgay
栎	stni
栖	ssg
样	suh
桠	sgog
桡	sat,satq
档	si
桤	smn,smnn
桥	stdj
桪	svfy
梦	ssq,ssqu
梾	sgus
棁	sukq
棂	svo,svoy
椁	syb,sybg
椟	sfn,sfnd
椢	slgy
椤	slq,slqy
楼	so,sov,sovg
榅	sjlg
榇	susy
榉	sig,sigg
榝	srs,srsc
槠	syf,syfj
横	sa,sam,samw
樯	sfu,sfuk
樱	smm,smmv
橥	qtfs
橱	sdgf
橼	sxx,sxxe
檩	syli
欤	gng,gngw
欧	arqw
殁	gqwc
残	gqg,gqga
殚	gqu,gquf
殡	gqpw
毁	ea,eaw,eawc
毡	ehkd
氇	eqg,eqgj
氩	rgo,rgod
氲	rjl,rjld
汹	irb,irbh
沄	ifcy
沟	iqcy
没	iwcy
沥	idet
沦	iwx,iwxn
沩	iyey
泞	ips,ipsh
泺	itni
洼	iffg
浃	igu,igud
浅	iga,igay
浇	iat,iatq
浉	ijgh
浒	iytf
浕	inyu
涚	iukq
涞	igus
涡	ikm,ikmw
涣	iqm,iqmd
涤	its,itsy
涨	ix,ixt,ixty
渌	ivi,iviy
渎	ifnd
渑	ikj,ikjn
渖	ipjh
溆	iwgc
溇	iovg
滗	iten
滚	iu,iuc,iuce
滠	ibc,ibcc
满	iag,iagw
潇	iavw
潍	ixw,ixwy
潜	iggj
潴	iqtj
灯	osh
灵	vou
炉	oynt
炖	ogb,ogbn
炽	ok,okw,okwy
烁	otn,otni
烛	ojy
烨	owx,owxf
焕	oqm,oqmd
煴	ojlg
牍	thgd
犊	cfn,cfnd
犹	qtdy
狝	qtqi
狞	qtp,qtps
狭	qtgd
狯	qtwc
狰	qtqh
猎	qtaj
猕	qtx,qtxi
猡	qtlq
猬	qtle
献	fm,fmu,fmud
玑	gwn
玙	ggng
玮	gfn,gfnh
玺	qig,qigy
珐	gfc,gfcy
琎	gfj,gfjp
瑶	get,getb
璎	gmmv
画	glb,glbj
疠	ugqe
疬	ude,udee
疱	uqn,uqnv
疴	uskd
痖	ugod
痪	uqm,uqmd
瘗	uguf
瘘	uov,uovd
瘪	uthx
瘾	ub,ubq,ubqn
瘿	umm,ummv
皑	rmn,rmnn
盏	gal,galf
盖	ugl,uglf
盗	uq,uqwl
眦	hhx,hhxn
睁	hq,hqv,hqvh
睐	hgu,hgus
瞒	ha,hagw
瞩	hnt,hnty
矫	tdtj
矶	dwn
矾	dwyy
砖	dfn,dfny
砺	ddgq
砾	dtn,dtni
硖	dgud
硗	dat,datq
硙	dmnn
硵	dhlr
碍	djgf
碱	ddg,ddgk
祢	pyq,pyqi
祸	pykw
禀	ylki
禄	pyv,pyvi
禅	pyuf
离	yr,yrb,yrbc
秃	twb
秆	tfh
秘	tnt,tntt
积	tkw,tkwy
秽	tmq,tmqy
秾	tpe,tpey
稆	tkk,tkkg
税	tuk,tukq
穑	tfuk
穷	pwe,pwer
窑	pwtb
窝	pwk,pwkw
窥	pwg
窦	pwfd
窭	pwo,pwov
笔	teb
笺	tga,tgau
筛	tjg,tjgh
筿	tts,ttsu
箓	tvi,tviu
箧	tagd
箩	tlqu
箫	tvh,tvhw
篓	tov,tovf
篱	tyr,tyrc
簖	tonr
籴	tyou
类	odu
籼	om,omh
粜	bmou
粤	tlo,tlon
粪	oawu
粮	oyvy
粽	opfi
糇	own,ownd
糍	oux,ouxx
緼	xjlg
縆	xngg
绑	xd
绻	xugb
缃	xs
缚	xs
罗	lqu
罴	lfc,lfco
翙	mqn,mqng
耸	wwb,wwbf
聍	bps,bpsh
肃	vh,vhj,vhjw
肤	egy
肮	eyw,eywn
肿	ekh,ekhh
胆	ejg,ejgg
胶	eur,eury
脐	eyj,eyjh
脶	ekmw
腘	elgy
腭	ekkn
腻	eaf,eafy
腼	edl,edlf
腽	ejl,ejlg
腾	eu
舣	tuyr
舻	tuhn
艳	dhq,dhqc
艺	an,anb
芈	hghg
芗	axt,axtr
芜	afqb
芦	aynr
苁	awwu
苇	afnh
苈	ader
苧	aps,apsj
茧	aju
荆	aga,agaj
荚	agud
荛	aatq
荨	avf,avfu
荩	anyu
荫	abe,abef
荬	anud
莅	awu,awuf
莱	agus
莳	ajfu
莴	akm,akmw
莶	awgg
莸	aqty
萝	alq,alqu
萧	av,avh,avhw
蒀	ajlf
蒋	au,auqf
蒌	aov,aovf
蒏	apsg
蓠	ayr,ayrc
蓦	ajdg
蔂	alx,alxi
蔷	afu,afuk
蔼	ayj
蕰	aijl
薮	aovt
藴	ax,axjl
蘖	atns
虏	hee
虑	hn,hni
虚	ho,hod
虬	jn,jnn
虮	jwn
虱	ntj,ntji
虿	gqju
蚁	jyr,jyry
蚃	xtju
蚕	gdju
蛊	jlf
蛱	jgu,jgud
蛲	jat,jatq
蛳	jjg,jjgh
蛴	jyj,jyjh
蜕	juk,jukq
蜗	jk,jkm,jkmw
蝇	jk,jkj,jkjn
螨	jagw
蟏	javw
衅	tlu,tlug
衮	uce,uceu
袜	pugs
袯	puny
装	uf,ufy,ufye
褛	puov
见	mqb
觃	mqbd
觐	akgq
觞	qetr
触	qejy
觯	qeuf
誊	ugyf
讻	yrbh
诐	yby
谶	ywwg
质	rf
贵	kh
费	xj
赕	moo,mooy
赛	pa
赟	ygam
赢	ye,yem,yemy
赶	fhfk
趱	fht
趸	gqkh
跞	khti
践	khg,khga
跷	khaq
跸	khxf
跹	khtp
跻	khyj
踌	khdf
踯	khub
蹒	khaw
蹰	khdf
蹿	khph
躯	tmdr
輼	ljlg
轪	ldy
辈	hd,hdhl
辌	lyiy
辙	ly
辞	tduh
辫	uxu,uxuh
达	dpi
迁	tfp,tfpk
过	fpi
迈	gqp,gqpe
运	fcp,fcpi
还	dhp,dhpi
进	fjp,fjpk
迩	qipi
递	uxhp
逦	gmyp
逻	lqp,lqpi
遗	khgp
遥	etf,etfp
邝	ob
邬	tnnb
邮	mbh
邹	qvb,qvbh
郏	gudb
郦	gmyb
酦	sgny
酽	sggt
酾	sggy
醖	sgjl
钐	qet
钾	ql
阳	bjg
阴	be,beg
陕	bgu,bgud
陧	bjf,bjfg
隽	wyb,wybr
雠	wyy,wyyy
雳	fde,fder
霡	fey,feyi
靔	gern
静	geq,geqh
靥	dddf
鞒	aftj
鞯	afa,afab
鞲	afaf
韪	jghh
额	pt
颥	fdmm
颦	hhdf
飖	etfr
飘	sf
飙	dddr
飨	xtw,xtwv
餍	ddwv
驽	vcc
骘	bhhg
骛	cnhg
骜	gqtg
髅	meo,meov
鬓	depw
魇	ddr,ddrc
魉	rqcw
鲨	iitg
鳌	gqtg
鳘	txtg
鸦	ahtg
鸻	tgsg
鹁	fpbg
鹉	gahg
鹌	djng
鹎	rtfg
鹏	ee
鹓	pqbg
鹔	vhjg
鹗	kkfg
鹜	cnhg
鹝	gkmg
鹟	wcng
鹠	qyvg
鹬	cnhg
鹭	khtg
鹰	ow
鹾	hlr,hlra
