荛	aat,aatq
节	ab,abj
萨	ab,abu,abut
荫	abe,abef
荪	abiu
茎	aca,acaf
蓣	acnm
苈	ader
项	adm,admy
蒇	admu
荙	adp,adpu
䓓	adt,adtf
茏	adx,adxy
鞯	afa,afab
鞲	afaf
鞑	afd,afdp
贰	afm,afmy
苇	afn,afnh
芜	afq,afqb
䓕	afqp
鞒	aftj
蔷	afu,afuk
荆	aga,agaj
颟	agmm
荚	agud
莱	agus
颐	ahk,ahkm
赜	ahkm
卧	ahnh
鸦	ahtg
东	ai,aii
蕰	aijl
荡	ain,ainr
鸫	aiq,aiqg
蓦	ajdg
莳	ajfu
蒀	ajlf
鹊	ajqg
蓝	ajt,ajtl
茧	aju
觐	akgq
匮	akh,akhm
蒉	akhm
颧	akk,akkm
鹳	akkg
莴	akm,akmw
莲	al,alp,alpu
萝	alq,alqu
鹋	alqg
匦	alv,alvv
蔂	alx,alxi
贡	am,amu
觏	amfq
荝	amj,amjj
苋	amq,amqb
艺	an,anb
贳	anm,anmu
勚	anme
荬	anud
荩	anyu
蒌	aov,aovf
薮	aovt
劳	ape,aper
茔	apff
鹲	apfg
莹	apg,apgy
苎	apgf
荥	api,apiu
萤	apj,apju
营	apk,apkk
荤	apl,aplj
茕	apnf
荧	apo,apou
莺	apq,apqg
蓥	apqf
荣	aps,apsu
蒏	apsg
苧	apsj
荦	apt,aptg
䓨	aptb
䓖	apwe
萦	apx,apxi
蓟	aqg,aqgj
茑	aqgf
藓	aqgu
莸	aqty
区	ar,ari
萚	arcg
瓯	arg,argy
欧	arq,arqw
鸥	arqg
殴	arw,arwc
苌	ata,atay
鹥	atdg
荞	atdj
翘	atgn
尧	atgq
蘖	atns
蒋	au,auqf
蕲	aujr
蔺	auw,auwy
萧	av,avh,avhw
荨	avf,avfu
苍	awb,awbb
荟	awfc
莶	awgg
蔹	awgt
莅	awu,awuf
鹀	awwg
觋	awwq
苁	awwu
巩	awyy
蕴	ax,axj,axjl
荭	axa,axaf
荮	axf,axfu
莼	axg,axgn
藴	axjl
芗	axt,axtr
荜	axxf
蔼	ayj,ayjn
荠	ayjj
芦	ayn,aynr
鸢	ayq,ayqg
蓠	ayr,ayrc
陈	ba,bai,baiy
陉	bca,bcag
颞	bccm
随	bd,bde,bdep
堕	bdef
颇	bdm,bdmy
陦	bdt,bdtf
陇	bdx,bdxy
阴	be,beg
际	bf,bfi,bfiy
卫	bg,bgd
陆	bg,bgb,bgbh
陕	bgu,bgud
骘	bhhg
孙	bi,biy
卺	bigb
逊	bip,bipi
阳	bj,bjg
陧	bjf,bjfg
职	bk,bkw,bkwy
聩	bkh,bkhm
陨	bkm,bkmy
阵	bl,blh
粜	bmo,bmou
辽	bp,bpk
