简码检测明细附录(v0.1)	
=== 三级缺失槽位(不含高频候选的部分) ===
abe	原: 荫	蘟〔1098162,无简码〕 㲨〔1098161,无简码〕
afa	原: 鞯	䩸〔1097497,无简码〕 韄〔1097496,无简码〕 鞴〔1097492,无简码〕 䪇〔1097487,无简码〕 鞾〔1097485,无简码〕
aga	原: 荆	華〔1096678,无简码〕 茾〔1096673,无简码〕 荊〔1096672,无简码〕 鷨〔1096667,无简码〕
akm	原: 莴	蒷〔1095019,无简码〕
alq	原: 萝	薥〔1094782,无简码〕 鶓〔1094780,无简码〕
alv	原: 匦	蔞〔1094746,无简码〕 藪〔1094744,无简码〕 匭〔1094742,无简码〕
alx	原: 蔂	蘿〔1094718,无简码〕
aov	原: 蒌	蓎〔1094079,无简码〕 菮〔1094077,无简码〕
avf	原: 荨	蕭〔1092453,无简码〕
avh	原: 萧	藎〔1092435,无简码〕
axt	原: 芗	薌〔1091707,无简码〕 薿〔1091703,无简码〕 蘔〔1091700,无简码〕 蘕〔1091698,无简码〕 蔠〔1091695,无简码〕
ayj	原: 蔼	薺〔1091577,无简码〕 藹〔1091569,无简码〕
bjf	原: 陧	䧉〔1090497,无简码〕
bjg	原: 阳	隄〔1090491,无简码〕 陽〔1090485,bj,bjgr〕
cfn	原: 犊	㹗〔1088643,无简码〕
ddh	原: 厦	碶〔1086273,无简码〕 䂜〔1086267,无简码〕 磩〔1086263,无简码〕
ddl	原: 厣	奤〔1086233,无简码〕
ddr	原: 魇	磢〔1086194,无简码〕
ddw	原: 厮	磡〔1086172,无简码〕 碪〔1086167,无简码〕 硤〔1086163,无简码〕 䃆〔1086161,无简码〕
dhq	原: 艳	硯〔1084816,无简码〕 鴀〔1084814,无简码〕 兏〔1084811,无简码〕
dnj	原: 尴	㞅〔1083929,无简码〕 㞁〔1083928,无简码〕
dtn	原: 砾	矻〔1083155,无简码〕 磓〔1083154,无简码〕
eaf	原: 腻	䐙〔1082201,无简码〕 膩〔1082199,无简码〕
eaw	原: 毁	臒〔1082078,无简码〕 㲓〔1082076,无简码〕 䥣〔1082072,无简码〕 㩓〔1082071,无简码〕 㬸〔1082069,无简码〕
ejg	原: 胆	䐎〔1080885,无简码〕 腸〔1080883,无简码〕 䑗〔1080882,无简码〕
ejl	原: 腽	䝢〔1080864,无简码〕
ekh	原: 肿	膭〔1080785,无简码〕 䑊〔1080781,无简码〕
etf	原: 遥	腄〔1079586,无简码〕 䍃〔1079585,无简码〕 㸒〔1079576,无简码〕 䏕〔1079573,无简码〕 㬳〔1079572,无简码〕
eur	原: 胶	㬵〔1079223,无简码〕
eyj	原: 脐	臍〔1078788,无简码〕
fcp	原: 运	迲〔1078195,无简码〕
fde	原: 雳	䨖〔1078097,无简码〕 㙊〔1078092,无简码〕
fht	原: 趱	䞬〔1076885,无简码〕 趏〔1076881,无简码〕 趎〔1076876,无简码〕 㙤〔1076875,无简码〕 䞢〔1076874,无简码〕
fmn	原: 垲	堝〔1075705,无简码〕
fnr	原: 声	霫〔1075469,无简码〕
fny	原: 专	㘮〔1075333,无简码〕
fpw	原: 壳	埪〔1074840,无简码〕 殻〔1074834,无简码〕 堗〔1074831,无简码〕 塎〔1074816,无简码〕 坈〔1074810,无简码〕
fqk	原: 鼋	坸〔1074685,无简码〕 堍〔1074677,无简码〕
fsl	原: 䎬	堜〔1074403,无简码〕 耬〔1074399,无简码〕 䎱〔1074398,无简码〕
gal	原: 盏	㿼〔1073049,无简码〕 䵤〔1073044,无简码〕
geq	原: 静	靘〔1072378,无简码〕 豞〔1072373,无简码〕 鶄〔1072371,无简码〕
gfn	原: 玮	璹〔1072140,无简码〕 㺮〔1072138,无简码〕 瓙〔1072136,无简码〕
gmb	原: 㓰	襾〔1070928,无简码〕
goj	原: 晋	鄑〔1070482,无简码〕
got	原: 严	䴡〔1070443,无简码〕
gqd	原: 麺	㱠〔1070263,无简码〕 㱹〔1070259,无简码〕 㱦〔1070255,无简码〕 殗〔1070251,无简码〕 殑〔1070250,无简码〕
gqp	原: 迈	㱧〔1069962,无简码〕 㱨〔1069958,无简码〕 殯〔1069953,无简码〕 㱰〔1069949,无简码〕 殥〔1069945,无简码〕
gqu	原: 殚	㱞〔1069781,无简码〕 殕〔1069772,无简码〕 㱲〔1069767,无简码〕
gtu	原: 麦	珘〔1069402,无简码〕
gud	原: 夹	頬〔1069353,无简码〕
gwf	原: 㻅	㻮〔1069072,无简码〕
hni	原: 虑	矚〔1066761,无简码〕 県〔1066759,无简码〕
hnt	原: 瞩	虙〔1066717,无简码〕 䀣〔1066706,无简码〕
hov	原: 䁖	瞊〔1066607,无简码〕
iat	原: 浇	㴀〔1065029,无简码〕 㴕〔1065026,无简码〕
ibc	原: 滠	㵵〔1064940,无简码〕 溋〔1064939,无简码〕
iga	原: 浅	汧〔1064092,无简码〕 㳥〔1064091,无简码〕
igu	原: 浃	泙〔1063816,无简码〕
