# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
aa	式 藏	匞 戒 戔
aaa	工	㐂 菚
aad	匿	茙
aam	蘳	䔈
aaw	匶	荗
ab	薩	茸 芓 邛 卭 艿 匜
abc	藂	菆
abe	蘟	㲨
ac	茅	芭
ad	惹	苦 戎 茂 芖
adc	茇	苃
ae	苏 菜	功 芼 苚 艻 㣉
aee	荔	萠 蓞 荕
af	鞋	革 苷 芏 芉 苿
afb	䩯	鞁
afi	蒜	䒬
afk	薹	䓀
afm	貳	䩜
afo	䩲	䓇
afs	藉	靪 䒹
aft	著	鞂
afv	䩮	鞎
afx	鞃	䩑
ag	七 巧	匡 芙
aga	華	茾
agh	蔫	芐
agm	芾	蔶
agx	荑	䓯
ah	牙 雅	芷 苜 䒙
ahh	蘋	荹
ahi	菽	茮
ahk	頤	苫
aht	雅	牙
ai	落	汞 䒕
aie	菹	莦
aij	䕕	䓠
air	蒎	萡 䓅
ajb	蕞	皵
ajt	葃	㪚
ajv	郾	匽
ak	或 惑	叵 戓
akg	勤	或 戜 堇 㠬
akh	匱	莡
akk	顴	莒
al	蔑	苗 莗 匣
alf	薯	蓒
alw	蒕	苬
am	黄	苖 貢
ama	蕽	䒼
anf	蔚	䒖 䒭
anh	蔬	葿
ann	蕊	乬 巪
ans	䢡	枼
anw	蓼	芵
ao	蘑 蘼	炗 苂
aoo	䑞	菼
ap	蒙	芝
apq	菀	䒞
apw	蓉	茓
aq	敬	匹 菳 芕 兂 旡
aqk	警	苟 茗
aqm	藑	萯
aqq	鴄	茤
aqr	葱	匢 芴
ars	蔱	蒱
at	董	攻 䒘 䒩
atd	醫	医 䒷 芺 䒨
atg	董	苼 䒜 苵
atl	蓖	䒸
atn	薛	䒗
ato	蕃	萩
att	蓹	䔉
au	臧	苙 菛 莘
aua	臧	蒫 荓
aue	藙	蕑
aus	薪	䔵
auv	蒹	菨 蔅
aw	花	共 芁 戍 䒔
awc	蓊	芟
awf	蔡	茌 芢 苻
awg	葵	荃 巬
awk	葆	㔯
awy	恐	萑 芃
axe	藧	苭 蒃
axi	䔋	䒺
ay	荒	芳 䓂 弋 芠
aye	蘐	䒾
aym	蒿	貣
ayn	荒	芒 䓽
ayw	萃	苀 匟
ba	隁	聀
bb	子	孕 孖 聑 䦻 耶 阤 陂
bbb	子	孨 聶
bc	聚	取 夃 㿬
bd	承 隨	呄
be	阻	䎳 毦 阞
bf	陵 陡	皯 䦹
bg	聽	孒
bgh	耳	聇 阷
bgk	隔	䎸
bh	蚩	耻 阯 屮
bhg	蚩	㞢 㞷
bi	函	氶 尕 阥
bj	隅 陽	刵 㓟
bk	亟 聖	叾
bkh	聵	䦿
bm	聘	出 孭
bmf	祟	聃 耼
bn	也 皮	孔 耴 䎲 孞 恥
bp	院 陀	䢊 辸 迆
bqo	䧰	陱 隖 隝 鵈
bs	阿	耵 䧈 䦺 朶 陠
bt	降 隆	孜
bta	陞	阩
btb	艸	陁
btg	隆	降
bwy	聆	陮
bx	聯	乸
bxe	墬	聈 䧘
bxx	聯	阰
