# 词序重排明细（2026-09-15）：按 rime-essay 单字有效字频（繁取自身与简体之大者）重排重码行，排除一级简码 25 行与字根行 4 行；共改动 1307 行。格式: 编码<Tab>原序<Tab>新序
aa	匞 戒 戔	戒 戔 匞
aaa	㐂 菚	菚 㐂
ab	茸 芓 邛 卭 艿 匜	茸 艿 邛 芓 匜 卭
aca	䒪 匥	匥 䒪
ad	苦 戎 茂 芖	苦 茂 戎 芖
ade	葫 䒴 萇	萇 葫 䒴
adh	䒠 芣	芣 䒠
adm	蕆 項	項 蕆
adww	匧 莢 㰼	莢 匧 㰼
ae	功 芼 苚 艻 㣉	功 苚 芼 艻 㣉
aee	萠 蓞 荕	萠 荕 蓞
aew	苏 㔱 萸	萸 苏 㔱
afc	靶 芸 芰 䒧	芸 靶 芰 䒧
aff	茥 靯 靬 䓁	靬 靯 茥 䓁
afkk	蘦 虂 䕒	虂 蘦 䕒
afqy	鞫 靮 韂 䩚 䪌	鞫 韂 靮 䩚 䪌
aftj	蓍 著	著 蓍
afug	靽 鞧	鞧 靽
afvy	靭 靱	靱 靭
afwc	蕶 藝 䩔	藝 蕶 䩔
afy	甙 䩧 弍	甙 弍 䩧
ag	匡 芙	芙 匡
agmw	苪 黃 㔷	黃 苪 㔷
agy	匤 弌	弌 匤
ahdd	匪 菲	菲 匪
ahkm	賾 頤	頤 賾
ahnl	監 盬 鹽	鹽 監 盬
ahnm	賢 贒 頣	賢 頣 贒
ahnq	覧 覽 鋻 鍳 鑒	覽 鑒 覧 鋻 鍳
ahnu	竪 豎 䜿 䝂	豎 竪 䜿 䝂
aivc	蓡 薓	薓 蓡
aivs	蒅 薻	薻 蒅
aj	划 草 昔 䒤 㓚	草 昔 划 䒤 㓚
ajs	菒 菓	菓 菒
akg	或 戜 堇 㠬	或 堇 戜 㠬
akgn	惑 懃 戁	惑 戁 懃
akgw	歎 歏 臡 㰲	歎 臡 歏 㰲
akkb	鄿 酄 䕤	酄 鄿 䕤
akkc	敺 毆	毆 敺
akkj	剾 飌	飌 剾
al	苗 莗 匣	苗 匣 莗
alv	蔞 匭	匭 蔞
am	苖 貢	貢 苖
amw	黄 芮	芮 黄
an	世 芑 巨 苢 芯 戉	世 巨 芯 芑 苢 戉
ao	炗 苂	苂 炗
aq	匹 菳 芕 兂 旡	匹 旡 兂 菳 芕
aqaj	朁 蠶 㔆	蠶 朁 㔆
aqk	苟 茗	茗 苟
aqky	菟 警	警 菟
aqo	菊 炁 蔦 䔡 䲨	菊 蔦 炁 䔡 䲨
aqr	匢 芴	芴 匢
aqtg	莥 蕕	蕕 莥
ar	艾 芞 苩 茊 芹 匠	艾 芹 匠 苩 芞 茊
arg	葟 荴	荴 葟
as	莆 茜 艼 㭉	茜 莆 艼 㭉
asf	荰 䓰 蒪	荰 蒪 䓰
atd	医 䒷 芺 䒨	芺 医 䒷 䒨
atdh	瞖 莑	莑 瞖
atdy	瑿 薙	薙 瑿
atg	苼 䒜 苵	苼 苵 䒜
